id,lat,lng
97,-12.0933041978,-76.9881427523
98,-12.0826221,-77.0894488
99,-12.0804041,-76.9861053
100,-12.1244180037,-76.9725976373
101,-12.1268442,-76.9726646
102,-12.1256903612,-76.9726967865
103,-12.0834893,-77.0909879
104,-12.0825788,-77.091958
105,-12.1198377,-77.0344714
106,-12.1222951,-77.0348168
107,-12.12,-77.035
108,-12.1688708,-76.9916213
109,-12.0737951,-77.04835
110,-12.094471443,-77.0455664144
111,-12.0930762,-77.0610203
112,-12.094,-77.046
113,-12.0952831,-77.0408931
114,-12.0948468,-77.0391833
115,-12.085,-77.036
116,-12.0842437212,-76.9207881878
117,-12.1328298192,-76.9838526524
118,-12.1329976461,-76.9835093296
119,-12.1326333,-76.984243
120,-12.0868173355,-77.0838827738
121,-12.08681734,-77.08388277
122,-12.0591194,-76.9934285
123,-12.08658042,-77.01399778
124,-12.0962081,-77.0183963
125,-12.13630157,-77.01564736
126,-12.0773533,-77.0529834
127,-12.0802588,-77.0477723
128,-12.080306,-77.0478454
129,-12.0766489851,-77.0540186545
130,-12.1192542746,-77.0113095455
131,-12.1180725,-77.009018
132,-12.1204624,-77.0154238
133,-12.1203225,-77.0147564
134,-12.1204501,-77.0146784
135,-11.97305821,-77.09554338
136,-12.14449303,-76.99692085
137,-12.1185489,-77.007798
138,-12.1280638,-77.0015451
139,-12.1356268527,-76.9959967609
140,-12.1156863,-77.0101688
141,-12.0531202893,-76.9760462879
142,-12.1981080431,-76.9658991763
143,-12.1305318,-77.0211822
144,-12.1282915,-77.0260415
145,-12.1272542,-77.0285532
146,-12.1271694908,-77.0285168345
147,-12.0627539,-77.0262894
148,-12.0948156,-76.7567368
149,-12.1301327322,-76.9764927085
150,-12.0037220465,-77.0948220635
151,-12.0741148,-77.033384
152,-12.1143566,-76.984046
153,-12.1183146874,-76.9838652904
154,-12.1195822927,-76.9842491533
155,-12.1353498,-76.9904301
156,-12.1354289,-76.9902
157,-12.1053490334,-76.9845626647
158,-12.1058525657,-76.9845626647
159,-12.1140754,-76.984392
160,-12.1138262294,-76.9843191497
161,-12.1150838228,-76.9840476806
162,-12.1308554705,-76.9886381299
163,-12.1043419659,-76.9847343261
164,-12.1237734,-76.9860821
165,-12.104174121,-76.9847343261
166,-12.0252385,-76.8830519
167,-12.1280589,-77.0070139
168,-12.129,-77.002
169,-12.12810318,-76.9916855
170,-12.1251645048,-77.0264478438
171,-12.1251645,-77.02644784
172,-12.1246958685,-77.0267587884
173,-12.02652109,-77.05867674
174,-11.9315994585,-77.0741507114
175,-12.1377037,-77.022397
176,-12.137728,-77.02247938
177,-12.1023172,-77.0216933675
178,-12.0781521,-77.100938
179,-12.143,-76.989
180,-12.1124048078,-77.014022673
181,-12.1133852,-77.0233519
182,-12.1132223,-77.0322431
183,-12.1140127,-77.0317688
184,-12.1137927,-77.03109086
185,-12.1117524,-77.0028895
186,-11.9965019125,-77.0869041825
187,-12.079772,-77.03495
188,-12.08,-77.035
189,-12.0882682981,-77.0343438384
190,-12.1154837,-77.0298353
191,-12.1083877,-77.031025
192,-12.0569088,-77.0522413
193,-12.054386,-77.0612997
194,-12.0811053,-77.0558579
195,-12.0666698,-77.0448289
196,-12.0691153,-77.0457261
197,-12.103,-77.058
198,-12.0992649,-77.0658219
199,-12.1088791,-77.0538568
200,-12.09924316,-77.04547882
201,-12.0988317,-77.0470507
202,-12.0989711,-77.047055
203,-12.0991651076,-77.047162056
204,-12.1384101,-76.9989616
205,-12.107,-77.048
206,-12.1632639,-76.96357
207,-12.09331416,-77.07883242
208,-12.0935906083,-77.078951229
209,-12.057,-77.05
210,-12.0568645,-77.0493268
211,-12.057053,-77.0516834
212,-12.0829599,-77.0599496
213,-12.0875225,-77.0638026
214,-12.0898118,-77.0660523
215,-12.0971301611,-77.0715962101
216,-12.0673727,-77.0477059
217,-12.0674378,-77.0478112
218,-12.0872982,-77.0635511
219,-12.0928288,-77.0686197
220,-12.0756296,-77.0543826
221,-12.1032389,-76.9801358
222,-12.1054593,-77.038815
223,-12.1009426,-77.0381702
224,-12.1006902,-77.0457695
225,-12.101,-77.039
226,-12.10059245,-77.03970599
227,-12.101,-77.04
228,-12.1016231,-77.0380637
229,-12.1314872,-76.9823077
230,-12.137879,-76.9844198
231,-12.1391646,-76.9845109
232,-12.1419979,-76.9850934
233,-12.1312961,-76.9824571
234,-12.1217448188,-76.9869794771
235,-12.1340147715,-76.9836401269
236,-11.9889597662,-77.1082289318
237,-12.1084134737,-76.9614045456
238,-12.0786818,-76.9580723
239,-12.088,-77.043
240,-12.087902,-77.0461151
241,-12.0878682,-77.0465609
242,-12.1601576,-77.0233209
243,-12.1568788,-77.0231555
244,-12.0833654,-76.9634616
245,-12.0838317,-76.9657463
246,-12.0866339,-76.9650881
247,-11.95617474,-76.97704666
248,-12.0919632751,-76.9673196979
249,-12.111,-77.037
250,-12.1249883,-77.0359122
251,-12.0749572,-77.079653
252,-12.1160788,-76.9791213
253,-12.11686448,-76.97978311
254,-12.1168644776,-76.9797831104
255,-12.1187779,-76.9816954
256,-12.084433,-77.0990004
257,-12.0826106,-77.1035957
258,-12.0899867,-77.0869546
259,-12.0897856,-77.0868669
260,-12.0827010114,-77.10401379
261,-12.0812651,-77.1061692
262,-12.0864051,-77.0944586
263,-12.0748807,-77.0427275
264,-11.9947783,-77.0890355
265,-12.1157551745,-76.986965924
266,-12.1167612,-76.987038
267,-12.1170978729,-76.9871375854
268,-12.1180478,-76.9870679
269,-12.1188837,-76.9851732
270,-12.118,-76.987
271,-12.1162586872,-76.9871375854
272,-12.0992635,-77.0063772
273,-12.11174089,-76.97924154
274,-12.1146931,-76.9789304
275,-12.1848841,-77.0074502
276,-12.1006101,-77.061722
277,-12.1095922386,-77.0518594423
